#{"t_start": 1744393569.5702631, "env_id": "CartPole-v1"}
r,l,t
16.0,16,27.693049
16.0,16,27.750712
13.0,13,27.788868
11.0,11,27.809588
22.0,22,27.852779
28.0,28,27.910175
27.0,27,27.974432
12.0,12,28.033333
18.0,18,28.093055
15.0,15,28.133819
23.0,23,28.182026
18.0,18,28.217959
18.0,18,28.252921
10.0,10,28.281252
33.0,33,28.35229
25.0,25,28.436713
12.0,12,28.461336
56.0,56,28.601484
67.0,67,28.72262
11.0,11,28.746889
22.0,22,28.790961
28.0,28,28.866683
12.0,12,28.888346
11.0,11,28.907743
21.0,21,28.945053
14.0,14,28.979739
20.0,20,29.025528
13.0,13,29.063309
15.0,15,29.092809
49.0,49,29.206463
34.0,34,29.27375
37.0,37,29.36212
26.0,26,29.406305
37.0,37,29.480307
24.0,24,29.52992
53.0,53,29.614885
26.0,26,29.665166
25.0,25,29.738976
47.0,47,29.81582
31.0,31,29.91831
16.0,16,29.947815
23.0,23,29.983136
18.0,18,30.011376
26.0,26,30.076148
43.0,43,30.143339
42.0,42,30.210128
18.0,18,30.239886
44.0,44,30.307429
39.0,39,30.423782
14.0,14,30.45378
21.0,21,30.516255
31.0,31,30.565382
9.0,9,30.579746
26.0,26,30.620117
13.0,13,30.641327
55.0,55,30.748325
28.0,28,30.793966
44.0,44,30.868019
15.0,15,30.891056
17.0,17,30.918386
14.0,14,30.942952
41.0,41,31.005877
22.0,22,31.077107
13.0,13,31.10941
26.0,26,31.151318
46.0,46,31.237444
26.0,26,31.289629
19.0,19,31.320612
22.0,22,31.362105
29.0,29,31.4199
20.0,20,31.485829
13.0,13,31.508013
34.0,34,31.562493
14.0,14,31.584919
37.0,37,31.64127
27.0,27,31.706758
13.0,13,31.740281
26.0,26,31.781749
15.0,15,31.834743
14.0,14,31.862982
13.0,13,31.901407
17.0,17,31.928308
27.0,27,35.136496
14.0,14,35.170564
31.0,31,35.225855
60.0,60,35.319309
64.0,64,35.470748
23.0,23,35.507621
21.0,21,35.568618
11.0,11,35.598939
19.0,19,35.630188
21.0,21,35.690837
13.0,13,35.715166
37.0,37,35.773614
33.0,33,35.852181
11.0,11,35.892453
26.0,26,35.949349
25.0,25,35.998562
13.0,13,36.037197
21.0,21,36.069996
81.0,81,36.221561
16.0,16,36.248146
12.0,12,36.276664
56.0,56,36.400996
21.0,21,36.435549
29.0,29,36.505338
24.0,24,36.565008
21.0,21,36.620905
30.0,30,36.668936
13.0,13,36.708312
21.0,21,36.747093
30.0,30,36.794657
52.0,52,36.887255
10.0,10,36.917401
38.0,38,37.025779
40.0,40,37.128622
56.0,56,37.263538
17.0,17,37.294431
21.0,21,37.357294
28.0,28,37.405404
16.0,16,37.432724
24.0,24,37.474444
36.0,36,37.569315
31.0,31,37.622264
20.0,20,37.657152
21.0,21,37.742625
19.0,19,37.77586
23.0,23,37.84673
31.0,31,37.901472
22.0,22,37.939387
29.0,29,38.013263
19.0,19,38.109566
14.0,14,38.134644
23.0,23,38.178065
25.0,25,38.235398
24.0,24,38.312222
17.0,17,38.381407
43.0,43,38.459781
11.0,11,38.478755
19.0,19,38.524081
14.0,14,38.551931
19.0,19,38.596036
15.0,15,38.643798
105.0,105,38.869911
10.0,10,38.886894
37.0,37,38.979252
26.0,26,39.067582
22.0,22,39.106752
54.0,54,39.229144
31.0,31,39.30483
37.0,37,39.373831
14.0,14,39.431476
23.0,23,39.473464
47.0,47,39.571841
15.0,15,39.609285
20.0,20,39.671785
59.0,59,42.409207
28.0,28,42.461366
49.0,49,42.549094
19.0,19,42.592159
70.0,70,42.725519
38.0,38,42.799466
26.0,26,42.845691
24.0,24,42.88802
28.0,28,43.001177
18.0,18,43.055437
21.0,21,43.11423
78.0,78,43.350771
35.0,35,43.430535
18.0,18,43.471856
38.0,38,43.563956
31.0,31,43.624392
79.0,79,43.824242
35.0,35,43.910604
71.0,71,44.056107
36.0,36,44.127636
