"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
10,1,2,1,1341235,1341235,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"GRBM_COUNT",197026.000000,1970371193272976,1970371193276023
10,1,2,1,1341235,1341235,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"GRBM_GUI_ACTIVE",197026.000000,1970371193272976,1970371193276023
10,1,2,1,1341235,1341235,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES",8.000000,1970371193272976,1970371193276023
13,2,2,1,1341235,1341235,98304,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_COUNT",9187797.000000,1970371193845996,1970371194249151
13,2,2,1,1341235,1341235,98304,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_GUI_ACTIVE",9187797.000000,1970371193845996,1970371194249151
13,2,2,1,1341235,1341235,98304,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"SQ_WAVES",1536.000000,1970371193845996,1970371194249151
16,3,2,1,1341235,1341235,98304,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_COUNT",6106935.000000,1970371194356996,1970371194716893
16,3,2,1,1341235,1341235,98304,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_GUI_ACTIVE",6106935.000000,1970371194356996,1970371194716893
16,3,2,1,1341235,1341235,98304,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"SQ_WAVES",1536.000000,1970371194356996,1970371194716893
21,4,2,1,1341235,1341235,98304,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_COUNT",6096005.000000,1970371194776108,1970371195135283
21,4,2,1,1341235,1341235,98304,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_GUI_ACTIVE",6096005.000000,1970371194776108,1970371195135283
21,4,2,1,1341235,1341235,98304,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"SQ_WAVES",1536.000000,1970371194776108,1970371195135283
26,5,2,1,1341235,1341235,98304,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_COUNT",6102743.000000,1970371195191491,1970371195550746
26,5,2,1,1341235,1341235,98304,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_GUI_ACTIVE",6102743.000000,1970371195191491,1970371195550746
26,5,2,1,1341235,1341235,98304,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"SQ_WAVES",1536.000000,1970371195191491,1970371195550746
31,6,2,1,1341235,1341235,98304,11,"void fp8_mm_kernel<128ul, 128ul, 128ul, 1ul, 1ul>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, unsigned long, unsigned long, unsigned long)",1024,35840,24,100,4,64,"GRBM_COUNT",6090257.000000,1970371195603987,1970371195963002
