M,N,K,PyTorch,Triton
256.000000,256.000000,256.000000,4.681143,6.144000
384.000000,384.000000,384.000000,13.824000,13.824000
512.000000,512.000000,512.000000,21.845333,19.660800
640.000000,640.000000,640.000000,27.428571,28.444444
768.000000,768.000000,768.000000,30.862884,30.161454
896.000000,896.000000,896.000000,28.868382,32.421415
1024.000000,1024.000000,1024.000000,30.541049,34.568439
1152.000000,1152.000000,1152.000000,38.947617,37.638455
1280.000000,1280.000000,1280.000000,37.236363,35.720930
1408.000000,1408.000000,1408.000000,38.241304,38.035648
1536.000000,1536.000000,1536.000000,36.359012,37.121791
1664.000000,1664.000000,1664.000000,36.574748,37.083428
1792.000000,1792.000000,1792.000000,42.466338,40.722550
1920.000000,1920.000000,1920.000000,38.117646,37.978020
2048.000000,2048.000000,2048.000000,39.201011,38.716652
2176.000000,2176.000000,2176.000000,40.247296,39.454909
2304.000000,2304.000000,2304.000000,41.472000,39.636955
2432.000000,2432.000000,2432.000000,42.740054,40.564743
2560.000000,2560.000000,2560.000000,37.984545,39.446843
2688.000000,2688.000000,2688.000000,37.092296,40.411636
2816.000000,2816.000000,2816.000000,40.658821,39.505622
2944.000000,2944.000000,2944.000000,40.082599,40.893900
3072.000000,3072.000000,3072.000000,39.744809,40.329847
3200.000000,3200.000000,3200.000000,39.489924,39.999998
3328.000000,3328.000000,3328.000000,39.586923,39.818196
3456.000000,3456.000000,3456.000000,39.610990,39.793468
3584.000000,3584.000000,3584.000000,42.546716,40.884571
3712.000000,3712.000000,3712.000000,39.757499,39.715349
3840.000000,3840.000000,3840.000000,40.147146,39.915303
3968.000000,3968.000000,3968.000000,40.405277,40.183514
4096.000000,4096.000000,4096.000000,40.895103,40.516522
