size,Triton,Torch
4096.000000,9.600000,9.600000
8192.000000,19.200000,19.200000
16384.000000,38.400001,38.400001
32768.000000,63.999998,63.999998
65536.000000,109.714284,109.714284
131072.000000,170.666661,170.666661
262144.000000,236.307695,236.307695
524288.000000,267.130429,277.891153
1048576.000000,307.200008,307.200008
2097152.000000,323.368435,323.368435
4194304.000000,334.367350,334.367350
8388608.000000,338.979315,340.152262
16777216.000000,340.741751,342.224538
33554432.000000,341.629877,341.926949
67108864.000000,342.522645,341.926949
134217728.000000,343.045567,343.230390
